lat,lng,speed_kmh
16.7184,81.1108,30
16.7172,81.1096,32
16.7160,81.1084,34
16.7148,81.1072,36
16.7136,81.1060,38
16.7124,81.1048,40
16.7112,81.1036,42
16.7102,81.1022,44
16.7098,81.1008,42
16.7094,81.0994,40
16.7090,81.0980,38
16.7088,81.0966,36
16.7086,81.0952,34
16.7084,81.0938,32
16.7082,81.0924,30
16.7076,81.0910,32
16.7070,81.0896,34
16.7066,81.0888,30
16.7064,81.0895,28
16.7068,81.0909,30
16.7074,81.0923,32
16.7080,81.0937,34
16.7086,81.0951,36
16.7092,81.0965,38
16.7098,81.0979,40
16.7104,81.0993,42
16.7110,81.1007,44
16.7116,81.1021,42
16.7122,81.1035,40
16.7128,81.1049,38
16.7134,81.1063,36
16.7140,81.1077,34
16.7146,81.1091,32
16.7152,81.1105,30
16.7158,81.1113,28
16.7164,81.1111,26
16.7170,81.1109,28
16.7176,81.1107,30
16.7182,81.1105,32
