lat,lng,speed_kmh
21.2296,78.9205,40
21.2280,78.9235,42
21.2264,78.9265,44
21.2248,78.9295,46
21.2232,78.9325,48
21.2216,78.9355,50
21.2200,78.9385,52
21.2184,78.9415,54
21.2168,78.9445,56
21.2152,78.9475,55
21.2136,78.9505,54
21.2120,78.9535,52
21.2104,78.9565,50
21.2088,78.9595,48
21.2072,78.9625,46
21.2056,78.9655,44
21.2040,78.9685,42
21.2024,78.9715,40
21.2008,78.9745,42
21.1992,78.9775,44
21.1976,78.9805,46
21.1960,78.9835,48
21.1944,78.9865,50
21.1928,78.9895,52
21.1912,78.9925,50
21.1896,78.9955,48
21.1880,78.9985,46
21.1864,79.0015,44
21.1848,79.0045,42
21.1832,79.0075,40
21.1816,79.0105,38
21.1800,79.0135,36
21.1784,79.0165,34
21.1768,79.0195,36
21.1752,79.0225,38
21.1736,79.0255,40
21.1720,79.0285,42
21.1704,79.0315,44
21.1688,79.0345,46
21.1672,79.0375,44
21.1656,79.0405,42
21.1640,79.0435,40
21.1624,79.0465,38
21.1608,79.0495,36
21.1592,79.0525,34
21.1576,79.0555,36
21.1560,79.0585,38
21.1544,79.0615,40
21.1528,79.0645,42
21.1512,79.0675,44
21.1496,79.0705,42
21.1482,79.0735,40
21.1470,79.0765,38
21.1462,79.0795,36
21.1458,79.0825,34
21.1460,79.0830,30
21.1462,79.0832,28
